t_ms,x,y
3041,1041.12,657.11
3046,1041.12,657.11
3050,1041.12,657.11
3055,1041.12,657.11
3060,1041.12,657.11
3065,1041.12,657.11
3070,1041.12,657.11
3075,1041.12,657.11
3080,1041.12,657.11
3085,1041.12,657.11
3090,1041.12,657.11
3095,1041.12,657.11
3100,1041.12,657.11
3105,1041.12,657.11
3110,1041.12,657.11
3114,1041.12,657.11
3119,1041.12,657.11
3124,1041.12,657.11
3129,1041.12,657.11
3133,1041.12,657.11
3138,1041.12,657.11
3143,1041.12,657.11
3148,1041.12,657.11
3153,1041.12,657.11
3157,1041.12,657.11
3162,1041.12,657.11
3166,1041.12,657.11
3171,1041.12,657.11
3176,1041.12,657.11
3181,1041.12,657.11
3186,1041.12,657.11
3191,1041.12,657.11
3196,1041.12,657.11
3201,1041.12,657.11
3206,1041.12,657.11
3211,1041.12,657.11
3215,1041.12,657.11
3219,1041.12,657.11
3224,1041.12,657.11
3229,1041.12,657.11
3234,1041.12,657.11
3239,1041.12,657.11
3243,1041.12,657.11
3247,1041.12,657.11
3252,1041.12,657.11
3257,1041.12,657.11
3261,1041.12,657.11
3266,1041.12,657.11
3271,1041.12,657.11
3276,1041.12,657.11
3281,1041.12,657.11
3286,1041.12,657.11
3291,1041.12,657.11
3295,1041.12,657.11
3300,1041.12,657.11
3305,1041.12,657.11
3310,1041.12,657.11
3315,1041.12,657.11
3320,1041.12,657.11
3325,1041.12,657.11
3330,1041.12,657.11
3335,1041.12,657.11
3339,1041.12,657.11
3344,1041.12,657.11
3349,1041.12,657.11
3353,1041.12,657.11
3358,1041.12,657.11
3363,1041.12,657.11
3368,1041.12,657.11
3373,1041.12,657.11
3378,1041.12,657.11
3383,1041.12,657.11
3388,1041.12,657.11
3393,1041.12,657.11
3397,1041.12,657.11
3402,1041.12,657.11
3407,1041.12,657.11
3411,1041.12,657.11
3416,1041.12,657.11
3421,1041.12,657.11
3426,1041.12,657.11
3431,1041.12,657.11
3436,1041.12,657.11
3441,1041.12,657.11
3446,1041.12,657.11
3451,1041.12,657.11
3456,1041.12,657.11
3461,1041.12,657.11
3466,1041.12,657.11
3471,1041.12,657.11
3476,1041.12,657.11
3481,1041.12,657.11
3486,1041.12,657.11
3490,1041.12,657.11
3494,1041.12,657.11
3499,1041.12,657.11
3503,1041.12,657.11
3508,1041.12,657.11
3512,1041.12,657.11
3517,1041.12,657.11
3522,1041.12,657.11
3527,1041.12,657.11
3532,1041.12,657.11
3536,1041.12,657.11
3541,1041.12,657.11
3546,1041.12,657.11
3551,1041.12,657.11
3555,1041.12,657.11
3560,1041.12,657.11
3565,1041.12,657.11
3570,1041.12,657.11
3575,1041.12,657.11
3580,1041.12,657.11
3585,1041.12,657.11
3590,1041.12,657.11
3595,1041.12,657.11
3600,1041.12,657.11
3605,1041.12,657.11
3610,1041.12,657.11
3615,1041.12,657.11
3619,1041.12,657.11
3624,1041.12,657.11
3629,1041.12,657.11
3634,1041.12,657.11
3639,1041.12,657.11
3644,1041.12,657.11
3649,1041.12,657.11
3653,1041.12,657.11
3658,1041.12,657.11
3662,1041.12,657.11
3667,1041.12,657.11
3672,1041.12,657.11
3676,1041.12,657.11
3681,1041.12,657.11
3686,1041.12,657.11
3691,1041.12,657.11
3696,1041.12,657.11
3700,1041.12,657.11
3704,1041.12,657.11
3709,1041.12,657.11
3715,1041.12,657.11
3720,1041.12,657.11
3725,1041.12,657.11
3730,1041.12,657.11
3735,1041.12,657.11
3740,1041.12,657.11
3745,1041.12,657.11
3750,1041.12,657.11
3755,1041.12,657.11
3760,1041.12,657.11
3765,1041.12,657.11
3770,1041.12,657.11
3774,1041.12,657.11
3779,1041.12,657.11
3784,1041.12,657.11
3789,1041.12,657.11
3794,1041.12,657.11
3799,1041.12,657.11
3804,1041.12,657.11
3809,1041.12,657.11
3814,1041.12,657.11
3819,1041.12,657.11
3824,1041.12,657.11
3829,1041.12,657.11
3834,1041.12,657.11
3839,1041.12,657.11
3844,1041.12,657.11
3849,1041.12,657.11
3853,1041.12,657.11
3858,1041.12,657.11
3863,1041.12,657.11
3868,1041.12,657.11
3876,1041.12,657.11
3881,1041.12,657.11
3886,1041.12,657.11
3891,1041.12,657.11
3896,1041.12,657.11
3901,1041.12,657.11
3906,1041.12,657.11
3910,1041.12,657.11
3914,1041.12,657.11
3919,1041.12,657.11
3923,1041.12,657.11
3928,1041.12,657.11
3933,1041.12,657.11
3938,1041.12,657.11
3943,1041.12,657.11
3947,1041.12,657.11
3952,1041.12,657.11
3957,1041.12,657.11
3962,1041.12,657.11
3967,1041.12,657.11
3972,1041.12,657.11
3977,1041.12,657.11
3982,1041.12,657.11
3987,1041.12,657.11
3992,1041.12,657.11
3996,1041.12,657.11
4001,1041.12,657.11
4006,1041.12,657.11
4011,1041.12,657.11
4016,1041.12,657.11
4021,1041.12,657.11
4026,1041.12,657.11
4030,1041.12,657.11
4035,1041.12,657.11
4040,1041.12,657.11
4045,1041.12,657.11
4050,1041.12,657.11
4055,1041.12,657.11
4060,1041.12,657.11
4065,1041.12,657.11
4070,1041.12,657.11
4075,1041.12,657.11
4080,1041.12,657.11
4084,1041.12,657.11
4088,1041.12,657.11
4093,1041.12,657.11
4098,1041.12,657.11
4103,1041.12,657.11
4108,1041.12,657.11
4113,1041.12,657.11
4117,1041.12,657.11
4122,1041.12,657.11
4127,1041.12,657.11
4132,1041.12,657.11
4137,1041.12,657.11
4142,1041.12,657.11
4147,1041.12,657.11
4152,1041.12,657.11
4156,1041.12,657.11
4161,1041.12,657.11
4166,1041.12,657.11
4171,1041.12,657.11
4176,1041.12,657.11
4181,1041.12,657.11
4186,1041.12,657.11
4191,1041.12,657.11
4196,1041.12,657.11
4200,1041.12,657.11
4205,1041.12,657.11
4210,1041.12,657.11
4215,1041.12,657.11
4219,1041.12,657.11
4224,1041.12,657.11
4229,1041.12,657.11
4234,1041.12,657.11
4239,1041.12,657.11
4244,1041.12,657.11
4248,1041.12,657.11
4253,1041.12,657.11
4258,1041.12,657.11
4263,1041.12,657.11
4268,1041.12,657.11
4272,1041.12,657.11
4277,1041.12,657.11
4282,1041.12,657.11
4286,1041.12,657.11
4291,1041.12,657.11
4296,1041.12,657.11
4301,1041.12,657.11
4306,1041.12,657.11
4310,1041.12,657.11
4314,1041.12,657.11
4319,1041.12,657.11
4324,1041.12,657.11
4328,1041.12,657.11
4333,1041.12,657.11
4338,1041.12,657.11
4343,1041.12,657.11
4348,1041.12,657.11
4353,1041.12,657.11
4358,1041.12,657.11
4363,1041.12,657.11
4368,1041.12,657.11
4373,1041.12,657.11
4378,1041.12,657.11
4383,1041.12,657.11
4387,1041.12,657.11
4392,1041.12,657.11
4397,1041.12,657.11
4402,1041.12,657.11
4407,1041.12,657.11
4411,1041.12,657.11
4416,1041.12,657.11
4420,1041.12,657.11
4425,1041.12,657.11
4430,1041.12,657.11
4435,1041.12,657.11
4440,1041.12,657.11
4445,1041.12,657.11
4450,1041.12,657.11
4454,1041.12,657.11
4459,1041.12,657.11
4464,1041.12,657.11
4468,1041.12,657.11
4473,1041.12,657.11
4478,1041.12,657.11
4483,1041.12,657.11
4488,1041.12,657.11
4493,1041.12,657.11
4497,1041.12,657.11
4502,1041.12,657.11
4507,1041.12,657.11
4511,1041.12,657.11
4515,1041.12,657.11
4520,1041.12,657.11
4525,1041.12,657.11
4530,1041.12,657.11
4535,1041.12,657.11
4540,1041.12,657.11
4545,1041.12,657.11
4550,1041.12,657.11
4555,1041.12,657.11
4559,1041.12,657.11
4563,1041.12,657.11
4568,1041.12,657.11
4572,1041.12,657.11
4577,1041.12,657.11
4581,1041.12,657.11
4586,1041.12,657.11
4591,1041.12,657.11
4596,1041.12,657.11
4601,1041.12,657.11
4606,1041.12,657.11
4611,1041.12,657.11
4616,1041.12,657.11
4621,1041.12,657.11
4625,1041.12,657.11
4630,1041.12,657.11
4635,1041.12,657.11
4640,1041.12,657.11
4645,1041.12,657.11
4650,1041.12,657.11
4654,1041.12,657.11
4659,1041.12,657.11
4663,1041.12,657.11
4667,1041.12,657.11
4672,1041.12,657.11
4676,1041.12,657.11
4681,1041.12,657.11
4686,1041.12,657.11
4691,1041.12,657.11
4696,1041.12,657.11
4701,1041.12,657.11
4706,1041.12,657.11
4711,1041.12,657.11
4715,1041.12,657.11
4720,1041.12,657.11
4725,1041.12,657.11
4730,1041.12,657.11
4734,1041.12,657.11
4739,1041.12,657.11
4743,1041.12,657.11
4747,1041.12,657.11
4752,1041.12,657.11
4756,1041.12,657.11
4761,1041.12,657.11
4765,1041.12,657.11
4770,1041.12,657.11
4775,1041.12,657.11
4779,1041.12,657.11
4784,1041.12,657.11
4789,1041.12,657.11
4794,1041.12,657.11
4799,1041.12,657.11
4804,1041.12,657.11
4808,1041.12,657.11
4813,1041.12,657.11
4818,1041.12,657.11
4823,1041.12,657.11
4828,1041.12,657.11
4833,1041.12,657.11
4838,1041.12,657.11
4843,1041.12,657.11
4848,1041.12,657.11
4852,1041.12,657.11
4857,1041.12,657.11
4862,1041.12,657.11
4867,1041.12,657.11
4872,1041.12,657.11
4877,1041.12,657.11
4882,1041.12,657.11
4887,1041.12,657.11
4891,1041.12,657.11
4896,1041.12,657.11
4901,1041.12,657.11
4906,1041.12,657.11
4911,1041.12,657.11
4916,1041.12,657.11
4920,1041.12,657.11
4925,1041.12,657.11
4930,1041.12,657.11
4935,1041.12,657.11
4940,1041.12,657.11
4945,1041.12,657.11
4950,1041.12,657.11
4955,1041.12,657.11
4960,1041.12,657.11
4965,1041.12,657.11
4970,1041.12,657.11
4975,1041.12,657.11
4980,1041.12,657.11
4985,1041.12,657.11
4990,1041.12,657.11
4995,1041.12,657.11
5000,1041.12,657.11
5005,1041.12,657.11
5010,1041.12,657.11
5015,1041.12,657.11
5020,1041.12,657.11
5024,1041.12,657.11
5028,1041.12,657.11
5033,1041.12,657.11
5038,1041.12,657.11
5043,1041.12,657.11
5048,1041.12,657.11
5053,1041.12,657.11
5058,1041.12,657.11
5063,1041.12,657.11
5068,1041.12,657.11
5073,1041.12,657.11
5077,1041.12,657.11
5082,1041.12,657.11
5087,1041.12,657.11
5091,1041.12,657.11
5096,1041.12,657.11
5101,1041.12,657.11
5106,1041.12,657.11
5111,1041.12,657.11
5116,1041.12,657.11
5121,1041.12,657.11
5126,1041.12,657.11
5131,1041.12,657.11
5136,1041.12,657.11
5141,1041.12,657.11
5146,1041.12,657.11
5151,1041.12,657.11
5156,1041.12,657.11
5160,1041.12,657.11
5165,1041.12,657.11
5170,1041.12,657.11
5175,1041.12,657.11
5180,1041.12,657.11
5185,1041.12,657.11
5190,1041.12,657.11
5195,1041.12,657.11
5200,1041.12,657.11
5204,1041.12,657.11
5208,1041.12,657.11
5213,1041.12,657.11
5218,1041.12,657.11
5223,1041.12,657.11
5228,1041.12,657.11
5232,1041.12,657.11
5237,1041.12,657.11
5242,1041.12,657.11
5246,1041.12,657.11
5251,1041.12,657.11
5256,1041.12,657.11
5261,1041.12,657.11
5266,1041.12,657.11
5270,1041.12,657.11
5274,1041.12,657.11
5279,1041.12,657.11
5284,1041.12,657.11
5288,1041.12,657.11
5293,1041.12,657.11
5298,1041.12,657.11
5303,1041.12,657.11
5308,1041.12,657.11
5313,1041.12,657.11
5318,1041.12,657.11
5323,1041.12,657.11
5328,1041.12,657.11
5333,1041.12,657.11
5338,1041.12,657.11
5343,1041.12,657.11
5347,1041.12,657.11
5352,1041.12,657.11
5357,1041.12,657.11
5362,1041.12,657.11
5367,1041.12,657.11
5372,1041.12,657.11
5376,1041.12,657.11
5381,1041.12,657.11
5385,1041.12,657.11
5390,1041.12,657.11
5395,1041.12,657.11
5400,1041.12,657.11
5405,1041.12,657.11
5410,1041.12,657.11
5414,1041.12,657.11
5419,1041.12,657.11
5424,1041.12,657.11
5429,1041.12,657.11
5434,1041.12,657.11
5438,1041.12,657.11
5443,1041.12,657.11
5448,1041.12,657.11
5453,1041.12,657.11
5458,1041.12,657.11
5463,1041.12,657.11
5467,1041.12,657.11
5472,1041.12,657.11
